word,word_root,polarity
(-;,(,1
(;_;),(;_;),-1
(^^),(^^),1
(^-^),(^-^),1
(^^*,(,1
(^_^),(^_^),1
(^_^;,(,-1
(^o^),(^o^),1
(-_-),(-_-),-1
(T_T),(T_T),-1
(ㅡㅡ),(,-1
)-:,),-1
*^^*,*,1
/^o^\,/,1
:(,:,1
:'-(,:,1
:-(,:,1
:),:,-1
:-),:,1
:/,:,-1
:|,:,1
:D,:,-1
:-D,:,-1
:p,:,0
:-P,:,-1
;,;,1
;),;,1
;-),;,1
;ㅅ;,;,-1
^///^,^,1
^^,^^,1
^^//,^^,1
^-^;,^-^;,-1
^-^;;,^-^;;,-1
^-^;;;;;,^-^;;;;;,-1
-_-^,-_-,-1
<3,<,1
=),=,1
8-),8,0
B-),B,0
XD,XD,1
ㄱㅅ,ㄱ,1
ㄱㅇㄷ,ㄱ,1
가격이 싸다,가격 싸,1
가까스로,가까스로,0
가까이 사귀어,가까이 사귀,1
가까이하다,가까이,1
가꾸러뜨리다,가꾸러뜨리,-1
가꾸러트리다,가꾸러트리,-1
가난,가난,-2
가난뱅이,가난뱅이,-2
가난살이,가난,-2
가난살이하다,가난,-2
가난설음,가난,-2
가난에,가난,-2
가난에 쪼들려서,가난 쪼들리,-2
가난하게,가난,-2
가난하고,가난,-2
가난하고 어렵다,가난 어렵,-2
가난하고 천한,가난 천한,-2
가난하다,가난,-2
가난하여,가난,-2
가난한,가난,-2
가난한 데다가,가난 데,-2
가난한 사람을,가난 사람,-2
가난히,가난,-2
가년스럽다,가년,-2
가념하다,가념하,-1
가녕스럽다,가,-2
가누기 어려워하다,가누 어려워하,-1
가누지 못하고,가누 못하,-2
가누지 못하다,가누 못하,-2
가누지 못할,가누 못하,-2
가누지 못할 정도로,가누 못하 정도,-2
가누지 못함,가누 못하,-2
가눌 수 없게,가누 수 없,-2
가눌 수 없을,가누 수 없,-2
가눌 수 없이,가누 수 없이,-2
가능성이 늘어나다,가능성 늘어나,2
가능성이 있다고,가능성 있,2
가능하다,가능,2
가닐가닐하다,가닐가닐,-1
가다듬어,가다듬,1
가다듬어 수습하는,가다듬 수습,1
가다듬어 수습하다,가다듬 수습,1
가다듬어 정하다,가다듬 정하,1
가당찮다,가당찮,-2
가당찮이,가,-2
가당히,가,1
가두거나,가두,-1
가두거나 해치거나,가두 해치,-2
가드올려,가드,-1
가뜬하게,가뜬,1
가라앉다,가라앉,0
가라앉지 않은,가라앉 않,0
가라앉혀 바로잡다,가라앉히 바로잡,1
가래,가래,-1
가래 따위가,가래 따위,-1
가래가,가래,-1
가래가 섞인,가래 섞이,-1
가량맞고,가량,-1
가량맞고 야살스러운,가량 야살,-1
가량맞고 야살스러움,가량 야살,-1
가려서 좋아하다,가리 좋아하,-1
가려운,가렵,-1
가려운 느낌이,가렵 느낌,-1
가려운 증상을,가렵 증상,-1
가련하게,가련,-1
가련하게 여기다,가련 여기,-1
가련하게 여김,가련 여기,-1
가련한,가련,-1
가련한 듯하다,가련 듯하,-1
가렵고,가렵,-1
